Activities,State,Category ,Park,Area Name
 Auto and ATV, HI, National Historic Trail, Ala Kahakai National Historic Trail, Ala Kahakai
, GA, National Historic Site, Andersonville National Historic Site, Andersonville
, VA  , National Historical Park, Appomattox Court House National Historical Park, Appomattox Court House
," MD, VA  ", National Seashore, Assateague Island National Seashore, Assateague Island
, SD  , National Park, Badlands National Park, Badlands
, MD  , Parkway, Baltimore-Washington Parkway, Baltimore-Washington
, TX  , National Park, Big Bend National Park, Big Bend
," MT, WY  ", National Recreation Area, Bighorn Canyon National Recreation Area, Bighorn Canyon
, FL  , National Preserve, Big Cypress National Preserve, Big Cypress
," NC, VA  ", Parkway, Blue Ridge Parkway, Blue Ridge
, AZ  , National Monument, Canyon de Chelly National Monument, Canyon de Chelly
, MA  , National Seashore, Cape Cod National Seashore, Cape Cod
, NC  , National Seashore, Cape Hatteras National Seashore, Cape Hatteras
," CA, CO, ID, KS, MO, NE, NV, OR, UT, WY  ", National Historic Trail, California National Historic Trail, California
, NC  , National Seashore, Cape Lookout National Seashore, Cape Lookout
," GA, TN  ", National Military Park, Chickamauga & Chattanooga National Military Park, Chickamauga & Chattanooga
, ID  , National Reserve, City Of Rocks National Reserve, City Of Rocks
, CO  , National Monument, Colorado National Monument, Colorado
, VA  , National Historical Park, Colonial National Historical Park, Colonial
, AZ  , National Memorial, Coronado National Memorial, Coronado
, OR  , National Park, Crater Lake National Park, Crater Lake
, ID  , National Monument & Preserve, Craters Of The Moon National Monument & Preserve, Craters Of The Moon
," NJ, PA  ", National Recreation Area, Delaware Water Gap National Recreation Area, Delaware Water Gap
," NM, TX  ", National Historic Trail, El Camino Real de Tierra Adentro National Historic Trail, El Camino Real de Tierra Adentro
, NM  , National Monument, El Malpais National Monument, El Malpais
," TX, LA  ", National Historic Trail, El Camino Real de los Tejas National Historic Trail, El Camino Real de los Tejas
," TX, LA  ", National Historic Trail, El Camino Real de los Tejas National Historic Trail, El Camino Real de los Tejas
, PA  , National Memorial, Flight 93 National Memorial, Flight 119
, WY  , National Monument, Fossil Butte National Monument, Fossil Butte
," KY, TN  ", National Battlefield, Fort Donelson National Battlefield, Fort Donelson
, PA  , National Military Park, Gettysburg National Military Park, Gettysburg
, MT  , National Park, Glacier National Park, Glacier
, AK  , National Park & Preserve, Glacier Bay National Park & Preserve, Glacier Bay
," AZ, UT  ", National Recreation Area, Glen Canyon National Recreation Area, Glen Canyon
, NV  , National Park, Great Basin National Park, Great Basin
, AZ  , National Park, Grand Canyon National Park, Grand Canyon
, CO  , National Park & Preserve, Great Sand Dunes National Park & Preserve, Great Sand Dunes
," NC, TN  ", National Park, Great Smoky Mountains National Park, Great Smoky Mountains
, VA  , , Green Springs, Green Springs
, WY  , National Park, Grand Teton National Park, Grand Teton
, NC  , National Military Park, Guilford Courthouse National Military Park, Guilford Courthouse
, TX  , National Park, Guadalupe Mountains National Park, Guadalupe Mountains
, ID  , National Monument, Hagerman Fossil Beds National Monument, Hagerman Fossil Beds
, AL  , National Military Park, Horseshoe Bend National Military Park, Horseshoe Bend
, AR  , National Park, Hot Springs National Park, Hot Springs
, IN  , National Park, Indiana Dunes National Park, Indiana Dunes
, CA  , National Park, Joshua Tree National Park, Joshua Tree
, CA  , National Monument,Lava Beds National Monument, Lava Beds
," AZ, NV  ", National Recreation Area,Lake Mead National Recreation Area, Lake Mead
, TX  , National Recreation Area, Lake Meredith National Recreation Area, Lake Meredith
, CA  , National Park, Lassen Volcanic National Park, Lassen Volcanic
