Activities,State,Category ,Park,Area Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category,Park,Area Name,State,Category,Park,Area Name,State,Category,Park,Area Name,State,Category,Park,Area Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Park,Area Name,State,Category,Park,Area Name,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State,Category,Park,Area Name,State,Category,Park,Area Name,State,Category,Park,Area Name,State,Category,Park,Area Name
 Camping, ME, National Park, Acadia National Park, Acadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Monument, Castle Mountains National Monument, Castle Mountains," FL, ", National Seashore, Canaveral National Seashore, Canaveral," UT, ", National Park, Canyonlands National Park, Canyonlands," UT, ", National Park, Capitol Reef National Park, Capitol Reef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Dinosaur National Monument, Dinosaur," FL, ", National Park, Dry Tortugas National Park, Dry Tortugas," WA, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," FL,MS, ", National Seashore, Gulf Islands National Seashore, Gulf Islands," TX, ", National Park, Guadalupe Mountains National Park, Guadalupe Mountains," HI, ", National Park, Haleakalā National Park, Haleakalā," HI, ", National Park, Hawaiʻi Volcanoes National Park, Hawaiʻi Volcanoes
, AK , Wild River, Alagnak Wild River, Alagnak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Seashore, Canaveral National Seashore, Canaveral," UT, ", National Park, Canyonlands National Park, Canyonlands," UT, ", National Park, Capitol Reef National Park, Capitol Reef," MD, ", Park, Catoctin Mountain Park, Catoctin Mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Dry Tortugas National Park, Dry Tortugas," WA, ", National Historical Reserve," ""Ebeys Landing National Historical Reserve"""," ""Ebeys Landing"""," NM, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," TX, ", National Park, Guadalupe Mountains National Park, Guadalupe Mountains," HI, ", National Park, Haleakalā National Park, Haleakalā," HI, ", National Park, Hawaiʻi Volcanoes National Park, Hawaiʻi Volcanoes,,,,
, TX  , National Monument, Alibates Flint Quarries National Monument, Alibates Flint Quarries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Canyonlands National Park, Canyonlands," UT, ", National Park, Capitol Reef National Park, Capitol Reef," MD, ", Park, Catoctin Mountain Park, Catoctin Mountain," NM, ", National Park, Carlsbad Caverns National Park, Carlsbad Caverns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," ""Ebeys Landing National Historical Reserve"""," ""Ebeys Landing"""," NM, ", National Monument, El Malpais National Monument, El Malpais," NM, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," HI, ", National Park, Haleakalā National Park, Haleakalā," HI, ", National Park, Hawaiʻi Volcanoes National Park, Hawaiʻi Volcanoes,,,,,,,,
, HI  , National Historic Trail, Ala Kahakai National Historic Trail, Ala Kahakai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Capitol Reef National Park, Capitol Reef," MD, ", Park, Catoctin Mountain Park, Catoctin Mountain," NM, ", National Park, Carlsbad Caverns National Park, Carlsbad Caverns," UT, ", National Monument, Cedar Breaks National Monument, Cedar Breaks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, El Malpais National Monument, El Malpais," NM, ", National Monument, El Morro National Monument, El Morro," FL, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," HI, ", National Park, Hawaiʻi Volcanoes National Park, Hawaiʻi Volcanoes,,,,,,,,,,,,
, TX  , National Recreation Area, Amistad National Recreation Area, Amistad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Park, Catoctin Mountain Park, Catoctin Mountain," NM, ", National Park, Carlsbad Caverns National Park, Carlsbad Caverns," UT, ", National Monument, Cedar Breaks National Monument, Cedar Breaks," NM, ", National Historical Park, Chaco Culture National Historical Park, Chaco Culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, El Morro National Monument, El Morro," FL, ", National Park, Everglades National Park, Everglades," NY, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, GA  , National Historic Site, Andersonville National Historic Site, Andersonville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Carlsbad Caverns National Park, Carlsbad Caverns," UT, ", National Monument, Cedar Breaks National Monument, Cedar Breaks," NM, ", National Historical Park, Chaco Culture National Historical Park, Chaco Culture," OK, ", National Recreation Area, Chickasaw National Recreation Area, Chickasaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Everglades National Park, Everglades," NY, ", National Seashore, Fire Island National Seashore, Fire Island," AK, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, AK  , National Monument & Preserve, Aniakchak National Monument & Preserve, Aniakchak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Monument, Cedar Breaks National Monument, Cedar Breaks," NM, ", National Historical Park, Chaco Culture National Historical Park, Chaco Culture," OK, ", National Recreation Area, Chickasaw National Recreation Area, Chickasaw," AZ, ", National Monument, Chiricahua National Monument, Chiricahua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Fire Island National Seashore, Fire Island," AK, ", National Park & Preserve, Gates Of The Arctic National Park & Preserve, Gates Of The Arctic," WV, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, MD  , National Battlefield, Antietam National Battlefield, Antietam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Historical Park, Chaco Culture National Historical Park, Chaco Culture," OK, ", National Recreation Area, Chickasaw National Recreation Area, Chickasaw," AZ, ", National Monument, Chiricahua National Monument, Chiricahua," CA, ", National Park, Channel Islands National Park, Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Gates Of The Arctic National Park & Preserve, Gates Of The Arctic," WV, ", National Recreation Area, Gauley River National Recreation Area, Gauley River," NY,NJ, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, WI  , National Lakeshore, Apostle Islands National Lakeshore, Apostle Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Recreation Area, Chickasaw National Recreation Area, Chickasaw," AZ, ", National Monument, Chiricahua National Monument, Chiricahua," CA, ", National Park, Channel Islands National Park, Channel Islands," DC,MD,WV, ", National Historical Park, Chesapeake & Ohio Canal National Historical Park, Chesapeake & Ohio Canal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Gauley River National Recreation Area, Gauley River," NY,NJ, ", National Recreation Area, Gateway National Recreation Area, Gateway," PA, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
," CT, GA, MA, MD, ME, NC, NH, NJ, NY, PA, TN, VA, VT, WV  ", National Scenic Trail, Appalachian National Scenic Trail, Appalachian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Monument, Chiricahua National Monument, Chiricahua," CA, ", National Park, Channel Islands National Park, Channel Islands," DC,MD,WV, ", National Historical Park, Chesapeake & Ohio Canal National Historical Park, Chesapeake & Ohio Canal," ID, ", National Reserve, City Of Rocks National Reserve, City Of Rocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Gateway National Recreation Area, Gateway," PA, ", National Military Park, Gettysburg National Military Park, Gettysburg," NM, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, UT  , National Park, Arches National Park, Arches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Channel Islands National Park, Channel Islands," DC,MD,WV, ", National Historical Park, Chesapeake & Ohio Canal National Historical Park, Chesapeake & Ohio Canal," ID, ", National Reserve, City Of Rocks National Reserve, City Of Rocks," CO, ", National Monument, Colorado National Monument, Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Gettysburg National Military Park, Gettysburg," NM, ", National Monument, Gila Cliff Dwellings National Monument, Gila Cliff Dwellings," MT, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
