Activities,State,Category ,Park,Area Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Category,Park,Area Name,State,Category,Park,Area Name,Category,Park,Area Name,State,Category,Park,Area Name,State,Category,Park,Area Name,State,Category,Park,Area Name
 Fishing, ME, National Park, Acadia National Park, Acadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Cuyahoga Valley National Park, Cuyahoga Valley," CA, ", National Monument, Devils Postpile National Monument, Devils Postpile, National Recreation Area, Lake Roosevelt National Recreation Area, Lake Roosevelt," CA, ", National Park, Lassen Volcanic National Park, Lassen Volcanic," IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV, ", National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark," OR,WA, ", National Historical Park, Lewis and Clark National Historical Park, Lewis and Clark
, AK  , Wild River, Alagnak Wild River, Alagnak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Monument, Devils Postpile National Monument, Devils Postpile," FL, ", National Memorial, De Soto National Memorial, De Soto, National Park, Lassen Volcanic National Park, Lassen Volcanic," IA,ID,IL,IN,KS,KY,MO,MT,NE,ND,OH,OR,PA,SD,WA,WV, ", National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark," OR,WA, ", National Historical Park, Lewis and Clark National Historical Park, Lewis and Clark,,,,
, HI  , National Historic Trail, Ala Kahakai National Historic Trail, Ala Kahakai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Memorial, De Soto National Memorial, De Soto," NJ,PA, ", National Recreation Area, Delaware Water Gap National Recreation Area, Delaware Water Gap, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark," OR,WA, ", National Historical Park, Lewis and Clark National Historical Park, Lewis and Clark,,,,,,,,
, TX  , National Recreation Area, Amistad National Recreation Area, Amistad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Recreation Area, Delaware Water Gap National Recreation Area, Delaware Water Gap," CO,UT, ", National Monument, Dinosaur National Monument, Dinosaur, National Historical Park, Lewis and Clark National Historical Park, Lewis and Clark,,,,,,,,,,,,
, DC  , Park, Anacostia Park, Anacostia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Monument, Dinosaur National Monument, Dinosaur," FL, ", National Park, Dry Tortugas National Park, Dry Tortugas,,,,,,,,,,,,,,,
, WI  , National Lakeshore, Apostle Islands National Lakeshore, Apostle Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Dry Tortugas National Park, Dry Tortugas," WA, ", National Historical Reserve," ""Ebeys Landing National Historical Reserve"""," ""Ebeys Landing""",,,,,,,,,,,,,,,
, AR  , National Memorial, Arkansas Post National Memorial, Arkansas Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Historical Reserve," ""Ebeys Landing National Historical Reserve"""," ""Ebeys Landing"""," FL, ", National Park, Everglades National Park, Everglades,,,,,,,,,,,,,,,
," MD, VA  ", National Seashore, Assateague Island National Seashore, Assateague Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Park, Everglades National Park, Everglades," NY, ", National Seashore, Fire Island National Seashore, Fire Island,,,,,,,,,,,,,,,
, CO  , National Historic Site," ""Bents Old Fort National Historic Site"""," ""Bents Old Fort""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Seashore, Fire Island National Seashore, Fire Island," WY, ", National Historic Site,Fort Laramie National Historic Site, Fort Laramie,,,,,,,,,,,,,,,
, TX  , National Park, Big Bend National Park, Big Bend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Historic Site,Fort Laramie National Historic Site, Fort Laramie," FL, ", National Monument,Fort Matanzas National Monument, Fort Matanzas,,,,,,,,,,,,,,,
," MT, WY  ", National Recreation Area, Bighorn Canyon National Recreation Area, Bighorn Canyon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Monument,Fort Matanzas National Monument, Fort Matanzas," CA, ", National Historic Site, Fort Point National Historic Site, Fort Point,,,,,,,,,,,,,,,
, MT  , National Battlefield, Big Hole National Battlefield, Big Hole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, National Historic Site, Fort Point National Historic Site, Fort Point," SC, ", National Historical Park, Fort Sumter and Fort Moultrie National Historical Park, Fort Sumter and Fort Moultrie,,,,,,,,,,,,,,,
