Activity,State,Category ,Park,Area Name
Astronomy,AK, National Park & Preserve, Denali National Park & Preserve, Denali
Astronomy,AK, National Park, Kenai Fjords National Park, Kenai Fjords
Astronomy,AK, National Park & Preserve, Lake Clark National Park & Preserve, Lake Clark
Astronomy,AL, Parkway, Natchez Trace Parkway, Natchez Trace
Astronomy,AL, National Military Park, Horseshoe Bend National Military Park, Horseshoe Bend
Astronomy,AZ, National Monument, Chiricahua National Monument, Chiricahua
Astronomy,AZ, National Recreation Area, Glen Canyon National Recreation Area, Glen Canyon
Astronomy,AZ, National Park,Grand Canyon National Park, Grand Canyon
Astronomy,AZ, National Monument, Montezuma Castle National Monument, Montezuma Castle
Astronomy,AZ, National Monument, Navajo National Monument, Navajo
Astronomy,AZ, National Monument, Organ Pipe Cactus National Monument, Organ Pipe Cactus
Astronomy,AZ, National Monument, Grand Canyon-Parashant National Monument, Grand Canyon-Parashant
Astronomy,AZ, National Park, Petrified Forest National Park, Petrified Forest
Astronomy,AZ, National Monument, Pipe Spring National Monument, Pipe Spring
Astronomy,AZ, National Park, Saguaro National Park, Saguaro
Astronomy,CA, National Park, Death Valley National Park, Death Valley
Astronomy,CA, National Park, Channel Islands National Park, Channel Islands
Astronomy,CA, National Monument, Devils Postpile National Monument, Devils Postpile
Astronomy,CA, National Park, Joshua Tree National Park, Joshua Tree
Astronomy,CA, National Monument, Lava Beds National Monument, Lava Beds
Astronomy,CA, National Park, Lassen Volcanic National Park, Lassen Volcanic
Astronomy,CA, National Preserve, Mojave National Preserve, Mojave
Astronomy,CA, National Park, Pinnacles National Park, Pinnacles
Astronomy,CO, National Monument, Dinosaur National Monument, Dinosaur
Astronomy,CO, National Monument, Hovenweep National Monument, Hovenweep
Astronomy,CO, National Monument, Florissant Fossil Beds National Monument, Florissant Fossil Beds
Astronomy,CO, National Park & Preserve, Great Sand Dunes National Park & Preserve, Great Sand Dunes
Astronomy,CO, National Park, Mesa Verde National Park, Mesa Verde
Astronomy,CO, National Park, Rocky Mountain National Park, Rocky Mountain
Astronomy,CT, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Astronomy,DC, National Park, Rock Creek Park, Rock Creek
Astronomy,FL, National Preserve, Big Cypress National Preserve, Big Cypress
Astronomy,FL, National Park, Dry Tortugas National Park, Dry Tortugas
Astronomy,FL, National Park, Everglades National Park, Everglades
Astronomy,ID, National Reserve, City Of Rocks National Reserve, City Of Rocks
Astronomy,IN, National Historical Park, George Rogers Clark National Historical Park, George Rogers Clark
Astronomy,KY, National Historical Park, Abraham Lincoln Birthplace National Historical Park, Abraham Lincoln Birthplace
Astronomy,KY, National River & Recreation Area, Big South Fork National River & Recreation Area, Big South Fork
Astronomy,KY, National Park, Mammoth Cave National Park, Mammoth Cave
Astronomy,MD, National Seashore, Assateague Island National Seashore, Assateague Island
Astronomy,ME, National Park, Acadia National Park, Acadia
Astronomy,MI, National Park, Isle Royale National Park, Isle Royale
Astronomy,MO, National Park, Gateway Arch National Park, Gateway Arch
Astronomy,MT, National Recreation Area, Bighorn Canyon National Recreation Area, Bighorn Canyon
Astronomy,MT, National Park, Glacier National Park, Glacier
Astronomy,NC, National Park, Great Smoky Mountains National Park, Great Smoky Mountains
