Activity,State,Category ,Park,Area Name
Camping,WY, National Monument, Devils Tower National Monument, Devils Tower
Camping,WY, National Park, Grand Teton National Park, Grand Teton
Camping,WY, National Recreation Area, Bighorn Canyon National Recreation Area, Bighorn Canyon
Camping,WV, National Recreation Area, Gauley River National Recreation Area, Gauley River
Camping,WV, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Camping,WV, National Historical Park, Chesapeake & Ohio Canal National Historical Park, Chesapeake & Ohio Canal
Camping,WI, National Lakeshore, Apostle Islands National Lakeshore, Apostle Islands
Camping,WA, National Historical Reserve," ""Ebeys Landing National Historical Reserve"""," ""Ebeys Landing"""
Camping,VT, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Camping,VA, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Camping,VA, National Seashore, Assateague Island National Seashore, Assateague Island
Camping,VA, Parkway, Blue Ridge Parkway, Blue Ridge
Camping,VA, National Historical Park, Cumberland Gap National Historical Park, Cumberland Gap
Camping,UT, National Park, Arches National Park, Arches
Camping,UT, National Park, Bryce Canyon National Park, Bryce Canyon
Camping,UT, National Park, Canyonlands National Park, Canyonlands
Camping,UT, National Park, Capitol Reef National Park, Capitol Reef
Camping,UT, National Monument, Cedar Breaks National Monument, Cedar Breaks
Camping,UT, National Monument, Dinosaur National Monument, Dinosaur
Camping,UT, National Recreation Area, Glen Canyon National Recreation Area, Glen Canyon National Recreation Area
Camping,TX, National Monument, Alibates Flint Quarries National Monument, Alibates Flint Quarries
Camping,TX, National Recreation Area, Amistad National Recreation Area, Amistad
Camping,TX, National Park, Big Bend National Park, Big Bend
Camping,TX, National Preserve, Big Thicket National Preserve, Big Thicket
Camping,TX, National Park, Guadalupe Mountains National Park, Guadalupe Mountains
Camping,TN, National Historical Park, Cumberland Gap National Historical Park, Cumberland Gap
Camping,TN, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Camping,TN, National River & Recreation Area, Big South Fork National River & Recreation Area, Big South Fork
Camping,TN, National Park, Great Smoky Mountains National Park, Great Smoky Mountains
Camping,SD, National Park, Badlands National Park, Badlands
Camping,SC, National Park,Congaree National Park, Congaree
Camping,RI, National Historical Park, Blackstone River Valley National Historical Park, Blackstone River Valley
Camping,PA, National Military Park, Gettysburg National Military Park, Gettysburg
Camping,PA, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Camping,PA, National Recreation Area, Delaware Water Gap National Recreation Area, Delaware Water Gap
Camping,OR, National Park,Crater Lake National Park, Crater Lake
Camping,OK, National Recreation Area, Chickasaw National Recreation Area, Chickasaw
Camping,OH, National Park, Cuyahoga Valley National Park, Cuyahoga Valley
Camping,NY, National Recreation Area, Gateway National Recreation Area, Gateway
Camping,NY, National Seashore, Fire Island National Seashore, Fire Island
Camping,NY, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Camping,NV, National Park, Great Basin National Park, Great Basin
Camping,NV, National Park, Death Valley National Park, Death Valley
Camping,NV, National Park, Death Valley National Park, Death Valley
Camping,NM, National Monument, Bandelier National Monument, Bandelier
Camping,NM, National Park, Carlsbad Caverns National Park, Carlsbad Caverns
Camping,NM, National Historical Park, Chaco Culture National Historical Park, Chaco Culture
Camping,NM, National Monument, El Malpais National Monument, El Malpais
Camping,NM, National Monument, El Morro National Monument, El Morro
Camping,NM, National Monument, Gila Cliff Dwellings National Monument, Gila Cliff Dwellings
Camping,NJ, National Recreation Area, Delaware Water Gap National Recreation Area, Delaware Water Gap
Camping,NJ, National Recreation Area, Great Egg Harbor River, Great Egg Harbor River
Camping,NJ, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Camping,NJ, National Recreation Area, Gateway National Recreation Area, Gateway
Camping,NH, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Camping,NH, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Camping,NC, National Park, Great Smoky Mountains National Park, Great Smoky Mountains
Camping,NC, Parkway, Blue Ridge Parkway, Blue Ridge
Camping,NC, National Seashore, Cape Hatteras National Seashore, Cape Hatteras
Camping,NC, National Seashore, Cape Lookout National Seashore, Cape Lookout
