Activity,State,Category ,Park,Area 
Fishing,AK, Wild River, Alagnak Wild River, Alagnak
Fishing,AK, National Park & Preserve, Glacier Bay National Park & Preserve, Glacier Bay
Fishing,AK, National Park & Preserve, Katmai National Park & Preserve, Katmai
Fishing,AK, National Park, Kenai Fjords National Park, Kenai Fjords
Fishing,AK, National Park, Kobuk Valley National Park, Kobuk Valley
Fishing,AK, National Park & Preserve, Lake Clark National Park & Preserve, Lake Clark
Fishing,AL, National Military Park, Horseshoe Bend National Military Park, Horseshoe Bend
Fishing,AR, National Memorial, Arkansas Post National Memorial, Arkansas Post
Fishing,AR, National River, Buffalo National River, Buffalo
Fishing,AR, National Park, Hot Springs National Park, Hot Springs
Fishing,AZ, National Recreation Area, Glen Canyon National Recreation Area, Glen Canyon
Fishing,AZ, National Recreation Area, Lake Mead National Recreation Area, Lake Mead
Fishing,AZ, National Park, Grand Canyon National Park, Grand Canyon
Fishing,CA, National Park, Channel Islands National Park, Channel Islands
Fishing,CA, National Monument, Devils Postpile National Monument, Devils Postpile
Fishing,CA, National Historic Site, Fort Point National Historic Site, Fort Point
Fishing,CA, National Recreation Area, Golden Gate National Recreation Area, Golden Gate
Fishing,CA, National Park, Lassen Volcanic National Park, Lassen Volcanic
Fishing,CO, National Monument, Dinosaur National Monument, Dinosaur
Fishing,CO, National Historic Site," ""Bents Old Fort National Historic Site"""," ""Bents Old Fort"""
Fishing,CO, National Park, Black Canyon Of The Gunnison National Park, Black Canyon Of The Gunnison
Fishing,CO, National Recreation Area, Curecanti National Recreation Area, Curecanti
Fishing,CO, National Park & Preserve, Great Sand Dunes National Park & Preserve, Great Sand Dunes
Fishing,DC, National Historic Trail, Captain John Smith Chesapeake National Historic Trail, Captain John Smith Chesapeake
Fishing,DC, National Historical Park, Chesapeake & Ohio Canal National Historical Park, Chesapeake & Ohio Canal
Fishing,DC, National Park, Anacostia Park, Anacostia
Fishing,DE , National Historical Park, First State National Historical Park, First State
Fishing,FL, National Seashore, Gulf Islands National Seashore, Gulf Islands
Fishing,FL, National Park, Biscayne National Park, Biscayne
Fishing,FL, National Seashore, Canaveral National Seashore, Canaveral
Fishing,FL, National Memorial, De Soto National Memorial, De Soto
Fishing,FL, National Park, Dry Tortugas National Park, Dry Tortugas
Fishing,FL, National Park, Everglades National Park, Everglades
Fishing,FL, National Monument,Fort Matanzas National Monument, Fort Matanzas
Fishing,GA, National Recreation Area, Chattahoochee River National Recreation Area, Chattahoochee River
Fishing,HI, National Historic Trail, Ala Kahakai National Historic Trail, Ala Kahakai
Fishing,HI, National Historical Park, Kaloko-Honokōhau National Historical Park, Kaloko-Honokōhau
Fishing,IA, National Historic Trail, Lewis & Clark National Historic Trail, Lewis & Clark
Fishing,ID, National Reserve, City Of Rocks National Reserve, City Of Rocks
Fishing,IN, National Historical Park, George Rogers Clark National Historical Park, George Rogers Clark
Fishing,IN, National Park, Indiana Dunes National Park, Indiana Dunes
Fishing,KY, National River & Recreation Area, Big South Fork National River & Recreation Area, Big South Fork
Fishing,LA, National Historical Park and Preserve, Jean Lafitte National Historical Park and Preserve,New Orleans
Fishing,MA, National Historical Park, Blackstone River Valley National Historical Park, Blackstone River Valley
Fishing,MA, National Recreation Area, Boston Harbor Islands National Recreation Area, Boston Harbor Islands
Fishing,MA, National Historical Park, Boston National Historical Park, Boston
Fishing,MA, National Seashore, Cape Cod National Seashore, Cape Cod
Fishing,MD, National Seashore, Assateague Island National Seashore, Assateague Island
Fishing,MD, Park, Catoctin Mountain Park, Catoctin Mountain
Fishing,MD, Park, Fort Washington Park, Fort Washington
Fishing,ME, National Park, Acadia National Park, Acadia
Fishing,ME, National Monument, Katahdin Woods and Waters National Monument, Katahdin Woods and Waters
Fishing,MI, National Park, Isle Royale National Park, Isle Royale
Fishing,MT, National Recreation Area, Bighorn Canyon National Recreation Area, Bighorn Canyon
Fishing,MT, National Battlefield, Big Hole National Battlefield, Big Hole
Fishing,MT, National Park, Glacier National Park, Glacier
