Activity,State,Category ,Park,Area Name
Hiking,AK, National Monument & Preserve, Aniakchak National Monument & Preserve, Aniakchak
Hiking,AK, National Preserve, Bering Land Bridge National Preserve, Bering Land Bridge
Hiking,AK, National Monument, Cape Krusenstern National Monument, Cape Krusenstern
Hiking,AK, National Park & Preserve, Denali National Park & Preserve, Denali
Hiking,AR, National Memorial, Arkansas Post National Memorial, Arkansas Post
Hiking,AR, National River, Buffalo National River, Buffalo
Hiking,AZ, National Monument, Canyon de Chelly National Monument, Canyon de Chelly
Hiking,AZ, National Monument, Chiricahua National Monument, Chiricahua
Hiking,AZ, National Memorial, Coronado National Memorial, Coronado
Hiking,CA, National Historic Trail, California National Historic Trail, California
Hiking,CA, National Park, Death Valley National Park, Death Valley
Hiking,CA, National Monument, Cabrillo National Monument, Cabrillo
Hiking,CA, National Park, Channel Islands National Park, Channel Islands
Hiking,CA, National Monument, Devils Postpile National Monument, Devils Postpile
Hiking,CO, National Monument, Dinosaur National Monument, Dinosaur
Hiking,CO, National Historic Site," ""Bents Old Fort National Historic Site"""," ""Bents Old Fort"""
Hiking,CO, National Park, Black Canyon Of The Gunnison National Park, Black Canyon Of The Gunnison
Hiking,CO, National Monument, Colorado National Monument, Colorado
Hiking,CO, National Recreation Area, Curecanti National Recreation Area, Curecanti
Hiking,CO, National Monument, Florissant Fossil Beds National Monument, Florissant Fossil Beds
Hiking,CT, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Hiking,DC, National Historical Park, Chesapeake & Ohio Canal National Historical Park, Chesapeake & Ohio Canal
Hiking,DC, National Historical Park, Civil War Defenses of Washington, Civil War Defenses of Washington
Hiking,FL, National Preserve, Big Cypress National Preserve, Big Cypress
Hiking,FL, National Seashore, Canaveral National Seashore, Canaveral
Hiking,FL, National Park, Everglades National Park, Everglades
Hiking,GA, National Military Park, Chickamauga & Chattanooga National Military Park, Chickamauga & Chattanooga
Hiking,GA, National Recreation Area,Chattahoochee River National Recreation, Chattahoochee River
Hiking,GA, National Military Park, Chickamauga & Chattanooga National Military Park, Chickamauga & Chattanooga
Hiking,GA, National Seashore, Cumberland Island National Seashore, Cumberland Island
Hiking,HI, National Historic Trail, Ala Kahakai National Historic Trail, Ala Kahakai
Hiking,IA, National Monument, Effigy Mounds National Monument, Effigy Mounds
Hiking,ID, National Reserve, City Of Rocks National Reserve, City Of Rocks
Hiking,ID, National Monument & Preserve, Craters Of The Moon National Monument & Preserve, Craters Of The Moon
Hiking,KY, National River & Recreation Area, Big South Fork National River & Recreation Area, Big South Fork
Hiking,KY, National Historical Park, Cumberland Gap National Historical Park, Cumberland Gap
Hiking,KY, National Battlefield, Fort Donelson National Battlefield, Fort Donelson
Hiking,KY, National Monument, Camp Nelson National Monument, Camp Nelson
Hiking,MA, National Recreation Area, Boston Harbor Islands National Recreation Area, Boston Harbor Islands
Hiking,MA, National Seashore, Cape Cod National Seashore, Cape Cod
Hiking,MD, National Historical Park, Chesapeake & Ohio Canal National Historical Park, Chesapeake & Ohio Canal
Hiking,MD, National Battlefield, Antietam National Battlefield, Antietam
Hiking,MD, National Seashore, Assateague Island National Seashore, Assateague Island
Hiking,MD, National Park, Catoctin Mountain Park, Catoctin Mountain
Hiking,ME, National Park, Acadia National Park, Acadia
Hiking,MT, National Recreation Area, Bighorn Canyon National Recreation Area, Bighorn Canyon
Hiking,MT, National Battlefield, Big Hole National Battlefield, Big Hole
Hiking,NC, Parkway, Blue Ridge Parkway, Blue Ridge
Hiking,NC, National Seashore, Cape Hatteras National Seashore, Cape Hatteras
Hiking,NE, National Monument, Agate Fossil Beds National Monument, Agate Fossil Beds
Hiking,NJ, National Recreation Area, Delaware Water Gap National Recreation Area, Delaware Water Gap
Hiking,NM, National Historic Trail, El Camino Real de Tierra Adentro National Historic Trail, El Camino Real de Tierra Adentro
Hiking,NM, National Monument, Aztec Ruins National Monument, Aztec Ruins
Hiking,NM, National Monument, Bandelier National Monument, Bandelier
Hiking,NM, National Park, Carlsbad Caverns National Park, Carlsbad Caverns
Hiking,NM, National Monument, Capulin Volcano National Monument, Capulin Volcano
Hiking,NM, National Historical Park, Chaco Culture National Historical Park, Chaco Culture
Hiking,NM, National Monument, El Malpais National Monument, El Malpais
Hiking,NM, National Monument, El Morro National Monument, El Morro
Hiking,NY, National Historic Site, Eleanor Roosevelt National Historic Site, Eleanor Roosevelt
Hiking,NY, National Seashore, Fire Island National Seashore, Fire Island
Hiking,OH, National Park, Cuyahoga Valley National Park, Cuyahoga Valley
Hiking,OK, National Recreation Area, Chickasaw National Recreation Area, Chickasaw
Hiking,OR, National Park, Crater Lake National Park, Crater Lake
Hiking,PA, National Historic Site, Allegheny Portage Railroad National Historic Site, Allegheny Portage Railroad
Hiking,PA, National Memorial, Flight 93 National Memorial, Flight 174
Hiking,SC, National Historic Site, Charles Pinckney National Historic Site, Charles Pinckney
Hiking,SC, National Park, Congaree National Park, Congaree
Hiking,SD, National Park, Badlands National Park, Badlands
Hiking,TX, National Recreation Area, Amistad National Recreation Area, Amistad
Hiking,TX, National Park, Big Bend National Park, Big Bend
Hiking,TX, National Preserve, Big Thicket National Preserve, Big Thicket
Hiking,TX, National Memorial,Chamizal National Memorial, Chamizal
Hiking,TX, National Historic Site, Fort Davis National Historic Site, Fort Davis
Hiking,UT, National Park, Arches National Park, Arches
Hiking,UT, National Park, Bryce Canyon National Park, Bryce Canyon
Hiking,UT, National Park, Canyonlands National Park, Canyonlands
Hiking,UT, National Park, Capitol Reef National Park, Capitol Reef
Hiking,UT, National Monument, Cedar Breaks National Monument, Cedar Breaks
Hiking,VA, National Historical Park, Appomattox Court House National Historical Park, Appomattox Court House
Hiking,VA, National Monument, Booker T Washington National Monument, Booker T Washington
Hiking,VI, National Monument, Buck Island Reef National Monument, Buck Island Reef
Hiking,WA," ebla, designation", National Historical Reserve," ""Ebeys Landing National Historical Reserve"""
Hiking,WI, National Lakeshore, Apostle Islands National Lakeshore, Apostle Islands
Hiking,WV, National Scenic River, Bluestone National Scenic River, Bluestone
Hiking,WY, National Monument, Devils Tower National Monument, Devils Tower
Hiking,WY, National Monument, Fossil Butte National Monument, Fossil Butte
Hiking,CO, National Historic Trail, California National Historic Trail, California
Hiking,GA, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Hiking,ID, National Historic Trail, California National Historic Trail, California
Hiking,KS, National Historic Trail, California National Historic Trail, California
Hiking,MA, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Hiking,MD, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Hiking,MD, National Historical Park, Civil War Defenses of Washington, Civil War Defenses of Washington
Hiking,ME, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Hiking,MO, National Historic Trail, California National Historic Trail, California
Hiking,NC, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Hiking,NE, National Historic Trail, California National Historic Trail, California
Hiking,NH, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Hiking,NJ, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Hiking,NV, National Historic Trail, California National Historic Trail, California
Hiking,NV, National Park, Death Valley National Park, Death Valley
Hiking,NY, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Hiking,OR, National Historic Trail, California National Historic Trail, California
Hiking,PA, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Hiking,PA, National Recreation Area, Delaware Water Gap National Recreation Area, Delaware Water Gap
Hiking,TN, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Hiking,TN, National Historical Park, Cumberland Gap National Historical Park, Cumberland Gap
Hiking,TN, National River & Recreation Area, Big South Fork National River & Recreation Area, Big South Fork
Hiking,TN, National Battlefield, Fort Donelson National Battlefield, Fort Donelson
Hiking,TX, National Historic Trail, El Camino Real de Tierra Adentro National Historic Trail, El Camino Real de Tierra Adentro
Hiking,UT, National Historic Trail, California National Historic Trail, California
Hiking,UT, National Monument, Dinosaur National Monument, Dinosaur
Hiking,VA, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Hiking,VA, National Seashore, Assateague Island National Seashore, Assateague Island
Hiking,VA, Parkway, Blue Ridge Parkway, Blue Ridge
Hiking,VA, National Historical Park, Cumberland Gap National Historical Park, Cumberland Gap
Hiking,VA, National Historical Park, Civil War Defenses of Washington, Civil War Defenses of Washington
Hiking,VT, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Hiking,WV, National Scenic Trail, Appalachian National Scenic Trail, Appalachian
Hiking,WV, National Historical Park, Chesapeake & Ohio Canal National Historical Park, Chesapeake & Ohio Canal
Hiking,WY, National Recreation Area, Bighorn Canyon National Recreation Area, Bighorn Canyon
Hiking,WY, National Historic Trail, California National Historic Trail, California
