"park","frequency"
" Appalachian National Scenic Trail",14
" Natchez Trace Parkway",3
" Hovenweep National Monument",2
" Bighorn Canyon National Recreation Area",2
" Big South Fork National River & Recreation Area",2
" Assateague Island National Seashore",2
" Glen Canyon National Recreation Area",2
" Dinosaur National Monument",2
" Great Smoky Mountains National Park",2
" Missouri National Recreational River",2
" Death Valley National Park",2
" Canyonlands National Park",1
" Capulin Volcano National Monument",1
" Gila Cliff Dwellings National Monument",1
" Navajo National Monument",1
" Bryce Canyon National Park",1
" Rocky Mountain National Park",1
" Mount Rainier National Park",1
" Cedar Breaks National Monument",1
" Big Bend National Park",1
" Abraham Lincoln Birthplace National Historical Park",1
" Big Cypress National Preserve",1
" Organ Pipe Cactus National Monument",1
" Agate Fossil Beds National Monument",1
" Saguaro National Park",1
" Lava Beds National Monument",1
" Mesa Verde National Park",1
" Natural Bridges National Monument",1
" El Malpais National Monument",1
" Sagamore Hill National Historic Site",1
" Fort Stanwix National Monument",1
" City Of Rocks National Reserve",1
" Lassen Volcanic National Park",1
" Appomattox Court House National Historical Park",1
" Gateway Arch National Park",1
" Kenai Fjords National Park",1
" Crater Lake National Park",1
" Joshua Tree National Park",1
" Ebeys Landing National Historical Reserve",1
" Acadia National Park",1
" Saint-Gaudens National Historical Park",1
" Pinnacles National Park",1
" Chaco Culture National Historical Park",1
" Fort Sumter and Fort Moultrie National Historical Park",1
" Pipe Spring National Monument",1
" Carlsbad Caverns National Park",1
" New River Gorge National Park and Preserve",1
" Olympic National Park",1
" Chiricahua National Monument",1
" Cedar Creek & Belle Grove National Historical Park",1
" Cape Hatteras National Seashore",1
" Everglades National Park",1
" Channel Islands National Park",1
" Capitol Reef National Park",1
" Glacier National Park",1
"Park",1
" Hopewell Furnace National Historic Site",1
" Great Sand Dunes National Park & Preserve",1
" Chickasaw National Recreation Area",1
" Mojave National Preserve",1
" Great Egg Harbor River",1
" Devils Postpile National Monument",1
" Dry Tortugas National Park",1
" Obed Wild & Scenic River",1
" Niobrara National Scenic River",1
" Denali National Park & Preserve",1
" Rock Creek Park",1
" Bandelier National Monument",1
" Perrys Victory & International Peace Memorial",1
" Florissant Fossil Beds National Monument",1
" Petrified Forest National Park",1
" Mammoth Cave National Park",1
" George Rogers Clark National Historical Park",1
"Grand Canyon National Park",1
" Lake Clark National Park & Preserve",1
" Montezuma Castle National Monument",1
" Badlands National Park",1
"Great Basin National Park",1
" El Morro National Monument",1
" Horseshoe Bend National Military Park",1
" Allegheny Portage Railroad National Historic Site",1
" National Parks of New York Harbor",1
" Arches National Park",1
" Isle Royale National Park",1
" Grand Canyon-Parashant National Monument",1
" Devils Tower National Monument",1
