"park","frequency"
" Lewis & Clark National Historic Trail",16
" California National Historic Trail",10
" Trail Of Tears National Historic Trail",9
" Pony Express National Historic Trail",8
" Oregon National Historic Trail",7
" Old Spanish National Historic Trail",6
" Santa Fe National Historic Trail",5
" Mormon Pioneer National Historic Trail",5
" Natchez Trace Parkway",3
" Missouri National Recreational River",2
" Fort Donelson National Battlefield",2
" Chickamauga & Chattanooga National Military Park",2
" Delaware Water Gap National Recreation Area",2
" Lower Delaware National Wild and Scenic River",2
" Great Smoky Mountains National Park",2
" Blue Ridge Parkway",2
" Glen Canyon National Recreation Area",2
" Assateague Island National Seashore",2
"Lake Mead National Recreation Area",2
" El Camino Real de los Tejas National Historic Trail",2
" Shiloh National Military Park",2
" El Camino Real de Tierra Adentro National Historic Trail",2
" Bighorn Canyon National Recreation Area",2
" Ala Kahakai National Historic Trail",1
" Petersburg National Battlefield",1
" Gettysburg National Military Park",1
" El Malpais National Monument",1
" City Of Rocks National Reserve",1
" Lassen Volcanic National Park",1
" Appomattox Court House National Historical Park",1
" Flight 93 National Memorial",1
" Crater Lake National Park",1
" Joshua Tree National Park",1
" Monocacy National Battlefield",1
" Green Springs",1
" Andersonville National Historic Site",1
" Ozark National Scenic Riverways",1
"Lava Beds National Monument",1
" Baltimore-Washington Parkway",1
" Glacier Bay National Park & Preserve",1
" Valles Caldera National Preserve",1
" National and State Parks",1
" New River Gorge National Park and Preserve",1
" Sequoia & Kings Canyon National Parks",1
" Cape Hatteras National Seashore",1
" Glacier National Park",1
" Saratoga National Historical Park",1
"Park",1
" Great Sand Dunes National Park & Preserve",1
" Mojave National Preserve",1
" Grand Teton National Park",1
" North Cascades National Park",1
" Rock Creek Park",1
" Cape Cod National Seashore",1
" Colorado National Monument",1
" Little River Canyon National Preserve",1
" Theodore Roosevelt National Park",1
" Petrified Forest National Park",1
" Hagerman Fossil Beds National Monument",1
" Valley Forge National Historical Park",1
" Timucuan Ecological & Historic Preserve",1
" River Raisin National Battlefield Park",1
" Indiana Dunes National Park",1
" Cape Lookout National Seashore",1
" Fossil Butte National Monument",1
" Badlands National Park",1
" Horseshoe Bend National Military Park",1
" Grand Canyon-Parashant National Monument",1
" Hot Springs National Park",1
" Craters Of The Moon National Monument & Preserve",1
" Coronado National Memorial",1
" Grand Canyon National Park",1
" Padre Island National Seashore",1
" Rocky Mountain National Park",1
" Mount Rainier National Park",1
" Big Bend National Park",1
" Great Basin National Park",1
" Big Cypress National Preserve",1
" Organ Pipe Cactus National Monument",1
" Pictured Rocks National Lakeshore",1
" Colonial National Historical Park",1
" Guadalupe Mountains National Park",1
" Lake Meredith National Recreation Area",1
" Saguaro National Park",1
" Guilford Courthouse National Military Park",1
" Canyon de Chelly National Monument",1
" Mesa Verde National Park",1
