"park","frequency"
" Appalachian National Scenic Trail",15
" Cumberland Gap National Historical Park",3
" Chesapeake & Ohio Canal National Historical Park",3
" Gulf Islands National Seashore",2
" Blackstone River Valley National Historical Park",2
" Great Smoky Mountains National Park",2
" Delaware Water Gap National Recreation Area",2
" Big South Fork National River & Recreation Area",2
" Bighorn Canyon National Recreation Area",2
" Glen Canyon National Recreation Area",2
" Gateway National Recreation Area",2
" Assateague Island National Seashore",2
" Dinosaur National Monument",2
" Blue Ridge Parkway",2
" Death Valley National Park",2
" Bryce Canyon National Park",1
" Cedar Breaks National Monument",1
" Big Bend National Park",1
" Great Basin National Park",1
" Golden Gate National Recreation Area",1
" Big Cypress National Preserve",1
" Guadalupe Mountains National Park",1
" Black Canyon Of The Gunnison National Park",1
" Curecanti National Recreation Area",1
" Greenbelt Park",1
" Canyon de Chelly National Monument",1
" Grand Portage National Monument",1
" Ala Kahakai National Historic Trail",1
" Gettysburg National Military Park",1
" El Malpais National Monument",1
" City Of Rocks National Reserve",1
" Biscayne National Park",1
" Apostle Islands National Lakeshore",1
" Ebeys Landing National Historical Reserve",1
" Boston Harbor Islands National Recreation Area",1
" Acadia National Park",1
" Big Thicket National Preserve",1
" Aniakchak National Monument & Preserve",1
" Alibates Flint Quarries National Monument",1
"Congaree National Park",1
" Andersonville National Historic Site",1
" Canaveral National Seashore",1
" Chaco Culture National Historical Park",1
" Catoctin Mountain Park",1
" Carlsbad Caverns National Park",1
" Glacier Bay National Park & Preserve",1
" Haleakalā National Park",1
" Alagnak Wild River",1
" Chiricahua National Monument",1
" Gauley River National Recreation Area",1
" Cape Hatteras National Seashore",1
" Everglades National Park",1
" Channel Islands National Park",1
" Buffalo National River",1
" Castle Mountains National Monument",1
" Gates Of The Arctic National Park & Preserve",1
" Capitol Reef National Park",1
" Glacier National Park",1
"Park",1
" Great Sand Dunes National Park & Preserve",1
" Chickasaw National Recreation Area",1
" Great Egg Harbor River",1
" Devils Postpile National Monument",1
" Grand Teton National Park",1
" Dry Tortugas National Park",1
" Denali National Park & Preserve",1
" Cape Cod National Seashore",1
" Colorado National Monument",1
"Crater Lake National Park",1
" Bandelier National Monument",1
" Cumberland Island National Seashore",1
" Badlands National Park",1
" Cape Lookout National Seashore",1
" El Morro National Monument",1
" Arches National Park",1
" Amistad National Recreation Area",1
" Devils Tower National Monument",1
" Antietam National Battlefield",1
" Canyonlands National Park",1
" Cuyahoga Valley National Park",1
" Gila Cliff Dwellings National Monument",1
" Fire Island National Seashore",1
" Craters Of The Moon National Monument & Preserve",1
" Bering Land Bridge National Preserve",1
" Cape Krusenstern National Monument",1
" Hawaiʻi Volcanoes National Park",1
" Grand Canyon National Park",1
