"park","frequency"
" Lewis & Clark National Historic Trail",15
" Captain John Smith Chesapeake National Historic Trail",6
" Great Smoky Mountains National Park",3
" Chesapeake & Ohio Canal National Historical Park",3
" Lake Mead National Recreation Area",2
" Big South Fork National River & Recreation Area",2
" Glen Canyon National Recreation Area",2
" Lewis and Clark National Historical Park",2
" Dinosaur National Monument",2
" First State National Historical Park",2
" Blue Ridge Parkway",2
" Blackstone River Valley National Historical Park",2
" Assateague Island National Seashore",2
" Gateway National Recreation Area",2
" Gulf Islands National Seashore",2
" Bighorn Canyon National Recreation Area",2
" Delaware Water Gap National Recreation Area",2
" Lake Meredith National Recreation Area",1
" Curecanti National Recreation Area",1
" Ala Kahakai National Historic Trail",1
" Knife River Indian Villages National Historic Site",1
" City Of Rocks National Reserve",1
" Lassen Volcanic National Park",1
" Biscayne National Park",1
" Apostle Islands National Lakeshore",1
" Big Hole National Battlefield",1
" Kenai Fjords National Park",1
" Crater Lake National Park",1
" Ebeys Landing National Historical Reserve",1
" Boston Harbor Islands National Recreation Area",1
" Acadia National Park",1
" Big Thicket National Preserve",1
" Canaveral National Seashore",1
" Fort Washington Park",1
" Fort Sumter and Fort Moultrie National Historical Park",1
" Lake Roosevelt National Recreation Area",1
" Catoctin Mountain Park",1
" Ice Age National Scenic Trail",1
" De Soto National Memorial",1
" Glacier Bay National Park & Preserve",1
" Chattahoochee River National Recreation Area",1
" Arkansas Post National Memorial",1
" Alagnak Wild River",1
" Congaree National Park",1
" Gauley River National Recreation Area",1
" Cape Hatteras National Seashore",1
" Everglades National Park",1
" Channel Islands National Park",1
" Buffalo National River",1
" Capitol Reef National Park",1
" Kaloko-Honokōhau National Historical Park",1
" Glacier National Park",1
" Fort Point National Historic Site",1
"Park",1
" Great Sand Dunes National Park & Preserve",1
" Chickasaw National Recreation Area",1
" Great Egg Harbor River",1
" Devils Postpile National Monument",1
" Grand Teton National Park",1
" Dry Tortugas National Park",1
" Jean Lafitte National Historical Park and Preserve",1
" Cape Cod National Seashore",1
" Katahdin Woods and Waters National Monument",1
" George Rogers Clark National Historical Park",1
" Kobuk Valley National Park",1
" Bents Old Fort National Historic Site",1
" George Washington Birthplace National Monument",1
" Indiana Dunes National Park",1
"Fort Laramie National Historic Site",1
" Lake Clark National Park & Preserve",1
" Cape Lookout National Seashore",1
" Anacostia Park",1
" Horseshoe Bend National Military Park",1
" Isle Royale National Park",1
" Katmai National Park & Preserve",1
" Amistad National Recreation Area",1
" Hot Springs National Park",1
" Cuyahoga Valley National Park",1
" Fire Island National Seashore",1
" Grand Canyon National Park",1
" Boston National Historical Park",1
" Big Bend National Park",1
" Great Basin National Park",1
" Golden Gate National Recreation Area",1
"Fort Matanzas National Monument",1
" Bluestone National Scenic River",1
" Black Canyon Of The Gunnison National Park",1
